"Kod","Ad","GK_1","GK_2","GK_3","GK_4","GK_5","GK_6","GK_7","GK_8","GK_9","GK_10","#"
"120 10 A001","AB SPİRAL CONTA ENDÜSTRİYEL SAN. VE TİC. LTD. ŞTİ.","STS","MÜSTERİ","","","","","","","","",""
"120 10 A002","ACTO PHARMA HİJYEN SAN. TİC. A.Ş.","STS","MÜSTERİ","","","","","","","","",""
"120 10 A003","ADALI KAUÇUK POLİÜRETAN SAN TİC LTD ŞTİ","STS","","","","","","","","","",""
"120 10 A004","ADBA MAKİNA SAN. TİC. LTD. ŞTİ.","STS","","","","","","","","","",""
"120 10 A005","ADOPEN PLASTİK VE İNŞAAT SANAYİ A.Ş","STS","","","","","","","","","",""
"120 10 A006","AĞIRDİZEL LTD.ŞTİ.","STS","","","","","","","","","",""
"120 10 A007","AHS ANADOLU ENDUSTRİ MAK OTMTV SAN VE TİC AŞ","STS","","","","","","","","","",""
"120 10 A008","AKAY ASANSÖR İML.TEKS.İNŞ.İH.SAN.TİC.LTD.ŞTİ.","STS","","","","","","","","","",""
"120 10 A009","AKAY MOTOR MAKİNA SANAYİ TİCARET A.Ş","STS","","","","","","","","","",""
"120 10 A010","AKCAN DİŞLİ SAN. VE TİC. LTD. ŞTİ.","STS","","","","","","","","","",""
"120 10 A011","AKIM METAL SANAYİ VE TİCARET A.Ş.","STS","","","","","","","","","",""
"120 10 A012","AKIŞ ASANSÖR MAKİNA MOTOR DÖKÜM LTD.ŞTİ","STS","","","","","","","","","",""
